id,count
0,117.0
1,148.0
2,88.0
4,49.0
5,64.0
10,115.0
11,109.0
12,300.0
15,15.0
17,134.0
18,252.0
23,248.0
25,114.0
26,20.0
31,199.0
39,229.0
40,29.0
41,199.0
42,398.0
43,133.0
51,300.0
52,117.0
54,20.0
60,138.0
61,155.0
62,119.0
63,46.0
65,127.0
66,129.0
68,181.0
71,30.0
80,30.0
82,137.0
94,97.0
98,278.0
101,49.0
102,181.0
107,109.0
112,324.0
113,6.0
115,137.0
116,121.0
120,236.0
121,23.0
122,324.0
132,244.0
143,6.0
147,137.0
150,23.0
151,69.0
152,300.0
153,69.0
155,241.0
156,93.0
159,256.0
161,51.0
163,20.0
177,284.0
186,2.0
188,17.0
190,106.0
191,19.0
192,316.0
195,331.0
200,140.0
209,331.0
210,11.0
211,173.0
214,109.0
215,21.0
218,95.0
219,50.0
222,215.0
225,19.0
228,310.0
236,258.0
241,37.0
242,109.0
243,317.0
245,17.0
247,290.0
251,181.0
252,103.0
253,80.0
254,109.0
258,402.0
260,137.0
261,189.0
265,137.0
266,252.0
267,293.0
269,133.0
270,137.0
275,92.0
278,52.0
279,80.0
286,117.0
287,28.0
288,241.0
289,140.0
293,19.0
294,158.0
297,137.0
302,137.0
303,12.0
304,93.0
307,109.0
309,15.0
311,180.0
312,140.0
314,188.0
315,317.0
319,153.0
322,119.0
323,137.0
325,108.0
327,278.0
330,52.0
332,152.0
333,19.0
338,92.0
341,124.0
345,199.0
348,339.0
349,52.0
350,129.0
352,137.0
355,14.0
356,123.0
358,137.0
363,138.0
369,123.0
371,23.0
372,229.0
375,252.0
380,122.0
388,45.0
391,181.0
392,293.0
393,431.0
394,241.0
396,34.0
401,49.0
407,137.0
409,80.0
410,129.0
416,75.0
418,129.0
420,167.0
421,227.0
422,181.0
424,317.0
428,300.0
429,172.0
431,109.0
435,3.0
439,115.0
441,3.0
447,80.0
449,181.0
451,130.0
452,17.0
454,262.0
458,172.0
463,141.0
467,11.0
470,316.0
471,133.0
474,331.0
478,16.0
483,135.0
484,108.0
485,86.0
486,119.0
491,92.0
494,85.0
495,252.0
497,199.0
499,257.0
515,92.0
518,221.0
521,215.0
525,167.0
529,257.0
532,138.0
534,137.0
540,137.0
544,271.0
547,133.0
549,45.0
563,39.0
564,115.0
567,137.0
572,113.0
577,181.0
578,317.0
585,300.0
588,133.0
589,114.0
590,119.0
592,17.0
594,304.0
596,20.0
598,300.0
599,122.0
605,49.0
606,138.0
607,252.0
608,191.0
609,137.0
610,252.0
611,241.0
614,133.0
615,274.0
616,199.0
617,92.0
618,278.0
624,135.0
629,189.0
631,107.0
633,117.0
637,27.0
638,92.0
643,137.0
644,137.0
645,39.0
646,187.0
648,250.0
650,49.0
651,241.0
652,252.0
656,137.0
657,20.0
659,26.0
660,158.0
662,95.0
665,431.0
675,317.0
681,131.0
682,158.0
685,19.0
686,258.0
689,27.0
696,92.0
703,137.0
704,85.0
705,109.0
714,274.0
717,117.0
718,18.0
720,103.0
721,148.0
723,241.0
726,241.0
728,165.0
730,191.0
731,34.0
734,375.0
737,91.0
738,19.0
745,109.0
746,29.0
749,228.0
752,27.0
753,241.0
758,274.0
765,14.0
766,176.0
768,86.0
769,248.0
774,120.0
775,127.0
781,137.0
784,331.0
794,17.0
795,252.0
796,86.0
802,199.0
803,241.0
805,40.0
806,252.0
